,mixed,near_end,far_end1,far_end2,mixed_path,near_end_path,far_end1_path,far_end2_path,near_end_loc,far_end_loc1,far_end_loc2,mic_loc1,room_dim,sample_freq,room_max_order,room_absorption
346,347.wav,FCDR1_3.wav,MRMB0_2.wav,MTPR0_4.wav,./data/mixed/347.wav,./data/near_end/FCDR1_3.wav,./data/far_end/MRMB0_2.wav,./data/far_end/MTPR0_4.wav,"[3, 8, 1]","[5, 5, 4]","[3, 8, 3]","[6, 10, 5]","[15, 10, 5]",16000,3,0.2
347,348.wav,FCDR1_3.wav,MJRP0_3.wav,FLOD0_1.wav,./data/mixed/348.wav,./data/near_end/FCDR1_3.wav,./data/far_end/MJRP0_3.wav,./data/far_end/FLOD0_1.wav,"[11, 1, 3]","[3, 1, 1]","[10, 7, 1]","[4, 2, 3]","[15, 10, 5]",16000,3,0.2
348,349.wav,FCDR1_3.wav,MCEF0_1.wav,FSAG0_3.wav,./data/mixed/349.wav,./data/near_end/FCDR1_3.wav,./data/far_end/MCEF0_1.wav,./data/far_end/FSAG0_3.wav,"[2, 8, 2]","[7, 10, 1]","[7, 1, 4]","[7, 10, 5]","[15, 10, 5]",16000,3,0.2
349,350.wav,FCDR1_3.wav,FAPB0_3.wav,FEAC0_2.wav,./data/mixed/350.wav,./data/near_end/FCDR1_3.wav,./data/far_end/FAPB0_3.wav,./data/far_end/FEAC0_2.wav,"[10, 1, 5]","[5, 5, 5]","[11, 3, 3]","[10, 10, 5]","[15, 10, 5]",16000,3,0.2
350,351.wav,FCDR1_4.wav,MPRB0_1.wav,MTLC0_2.wav,./data/mixed/351.wav,./data/near_end/FCDR1_4.wav,./data/far_end/MPRB0_1.wav,./data/far_end/MTLC0_2.wav,"[13, 3, 2]","[7, 4, 3]","[7, 6, 2]","[2, 5, 4]","[15, 10, 5]",16000,3,0.2
351,352.wav,FCDR1_4.wav,MHMR0_1.wav,MKLW0_3.wav,./data/mixed/352.wav,./data/near_end/FCDR1_4.wav,./data/far_end/MHMR0_1.wav,./data/far_end/MKLW0_3.wav,"[8, 7, 2]","[9, 4, 3]","[7, 7, 3]","[1, 6, 5]","[15, 10, 5]",16000,3,0.2
352,353.wav,FCDR1_4.wav,MHMG0_1.wav,MJLG1_1.wav,./data/mixed/353.wav,./data/near_end/FCDR1_4.wav,./data/far_end/MHMG0_1.wav,./data/far_end/MJLG1_1.wav,"[7, 6, 3]","[10, 1, 2]","[12, 4, 4]","[5, 1, 4]","[15, 10, 5]",16000,3,0.2
353,354.wav,FCDR1_4.wav,FGMB0_3.wav,MGAW0_3.wav,./data/mixed/354.wav,./data/near_end/FCDR1_4.wav,./data/far_end/FGMB0_3.wav,./data/far_end/MGAW0_3.wav,"[3, 8, 4]","[7, 9, 4]","[13, 10, 2]","[2, 2, 1]","[15, 10, 5]",16000,3,0.2
354,355.wav,FCDR1_4.wav,MKLW0_3.wav,MTAB0_3.wav,./data/mixed/355.wav,./data/near_end/FCDR1_4.wav,./data/far_end/MKLW0_3.wav,./data/far_end/MTAB0_3.wav,"[1, 8, 1]","[3, 9, 3]","[5, 9, 3]","[11, 8, 1]","[15, 10, 5]",16000,3,0.2
355,356.wav,FCDR1_5.wav,MJJJ0_3.wav,FTLG0_4.wav,./data/mixed/356.wav,./data/near_end/FCDR1_5.wav,./data/far_end/MJJJ0_3.wav,./data/far_end/FTLG0_4.wav,"[11, 7, 3]","[12, 9, 1]","[3, 1, 1]","[5, 7, 4]","[15, 10, 5]",16000,3,0.2
356,357.wav,FCDR1_5.wav,MJEB1_1.wav,MRLJ0_3.wav,./data/mixed/357.wav,./data/near_end/FCDR1_5.wav,./data/far_end/MJEB1_1.wav,./data/far_end/MRLJ0_3.wav,"[5, 3, 4]","[5, 3, 1]","[3, 4, 2]","[1, 9, 1]","[15, 10, 5]",16000,3,0.2
357,358.wav,FCDR1_5.wav,FSKP0_1.wav,MRRE0_3.wav,./data/mixed/358.wav,./data/near_end/FCDR1_5.wav,./data/far_end/FSKP0_1.wav,./data/far_end/MRRE0_3.wav,"[3, 8, 3]","[1, 8, 4]","[13, 1, 4]","[11, 4, 4]","[15, 10, 5]",16000,3,0.2
358,359.wav,FCDR1_5.wav,MTBC0_3.wav,MRKM0_1.wav,./data/mixed/359.wav,./data/near_end/FCDR1_5.wav,./data/far_end/MTBC0_3.wav,./data/far_end/MRKM0_1.wav,"[10, 8, 2]","[10, 7, 1]","[7, 2, 3]","[7, 3, 3]","[15, 10, 5]",16000,3,0.2
359,360.wav,FCDR1_5.wav,MSFV0_4.wav,MRLD0_1.wav,./data/mixed/360.wav,./data/near_end/FCDR1_5.wav,./data/far_end/MSFV0_4.wav,./data/far_end/MRLD0_1.wav,"[9, 10, 1]","[8, 3, 5]","[7, 2, 5]","[14, 4, 3]","[15, 10, 5]",16000,3,0.2
360,361.wav,FCDR1_6.wav,MJFH0_3.wav,MTWH1_3.wav,./data/mixed/361.wav,./data/near_end/FCDR1_6.wav,./data/far_end/MJFH0_3.wav,./data/far_end/MTWH1_3.wav,"[3, 4, 4]","[7, 3, 4]","[13, 8, 2]","[9, 5, 1]","[15, 10, 5]",16000,3,0.2
361,362.wav,FCDR1_6.wav,MCLK0_1.wav,MRLJ1_2.wav,./data/mixed/362.wav,./data/near_end/FCDR1_6.wav,./data/far_end/MCLK0_1.wav,./data/far_end/MRLJ1_2.wav,"[7, 3, 1]","[14, 6, 1]","[10, 8, 3]","[2, 6, 2]","[15, 10, 5]",16000,3,0.2
362,363.wav,FCDR1_6.wav,MJRA0_3.wav,FTMG0_3.wav,./data/mixed/363.wav,./data/near_end/FCDR1_6.wav,./data/far_end/MJRA0_3.wav,./data/far_end/FTMG0_3.wav,"[10, 1, 5]","[9, 9, 2]","[5, 9, 1]","[10, 1, 5]","[15, 10, 5]",16000,3,0.2
363,364.wav,FCDR1_6.wav,FMPG0_3.wav,FJEN0_2.wav,./data/mixed/364.wav,./data/near_end/FCDR1_6.wav,./data/far_end/FMPG0_3.wav,./data/far_end/FJEN0_2.wav,"[2, 2, 4]","[7, 8, 4]","[11, 5, 5]","[6, 3, 4]","[15, 10, 5]",16000,3,0.2
364,365.wav,FCDR1_6.wav,MSMS0_3.wav,MPRT0_1.wav,./data/mixed/365.wav,./data/near_end/FCDR1_6.wav,./data/far_end/MSMS0_3.wav,./data/far_end/MPRT0_1.wav,"[14, 3, 4]","[3, 8, 3]","[2, 1, 1]","[4, 4, 1]","[15, 10, 5]",16000,3,0.2
365,366.wav,FCEG0_1.wav,FEAC0_2.wav,FLHD0_2.wav,./data/mixed/366.wav,./data/near_end/FCEG0_1.wav,./data/far_end/FEAC0_2.wav,./data/far_end/FLHD0_2.wav,"[11, 5, 1]","[6, 4, 4]","[5, 2, 4]","[14, 2, 1]","[15, 10, 5]",16000,3,0.2
366,367.wav,FCEG0_1.wav,MCSS0_1.wav,MDED0_4.wav,./data/mixed/367.wav,./data/near_end/FCEG0_1.wav,./data/far_end/MCSS0_1.wav,./data/far_end/MDED0_4.wav,"[9, 6, 3]","[2, 6, 2]","[3, 5, 3]","[1, 7, 1]","[15, 10, 5]",16000,3,0.2
367,368.wav,FCEG0_1.wav,FDAS1_2.wav,MMBS0_4.wav,./data/mixed/368.wav,./data/near_end/FCEG0_1.wav,./data/far_end/FDAS1_2.wav,./data/far_end/MMBS0_4.wav,"[6, 5, 4]","[11, 1, 3]","[5, 4, 4]","[9, 8, 5]","[15, 10, 5]",16000,3,0.2
368,369.wav,FCEG0_1.wav,MRLR0_3.wav,MCXM0_2.wav,./data/mixed/369.wav,./data/near_end/FCEG0_1.wav,./data/far_end/MRLR0_3.wav,./data/far_end/MCXM0_2.wav,"[13, 5, 2]","[12, 6, 5]","[3, 9, 1]","[8, 4, 3]","[15, 10, 5]",16000,3,0.2
369,370.wav,FCEG0_1.wav,MKLN0_2.wav,MRCW0_2.wav,./data/mixed/370.wav,./data/near_end/FCEG0_1.wav,./data/far_end/MKLN0_2.wav,./data/far_end/MRCW0_2.wav,"[10, 1, 3]","[7, 7, 2]","[5, 10, 4]","[5, 6, 1]","[15, 10, 5]",16000,3,0.2
370,371.wav,FCEG0_2.wav,MVJH0_3.wav,MKLS1_1.wav,./data/mixed/371.wav,./data/near_end/FCEG0_2.wav,./data/far_end/MVJH0_3.wav,./data/far_end/MKLS1_1.wav,"[5, 8, 5]","[14, 5, 5]","[9, 6, 4]","[6, 9, 1]","[15, 10, 5]",16000,3,0.2
371,372.wav,FCEG0_2.wav,MKLR0_2.wav,MDED0_2.wav,./data/mixed/372.wav,./data/near_end/FCEG0_2.wav,./data/far_end/MKLR0_2.wav,./data/far_end/MDED0_2.wav,"[3, 6, 3]","[9, 5, 2]","[1, 3, 4]","[6, 1, 1]","[15, 10, 5]",16000,3,0.2
372,373.wav,FCEG0_2.wav,FSKC0_2.wav,MMSM0_2.wav,./data/mixed/373.wav,./data/near_end/FCEG0_2.wav,./data/far_end/FSKC0_2.wav,./data/far_end/MMSM0_2.wav,"[14, 5, 4]","[7, 1, 2]","[7, 3, 4]","[8, 7, 4]","[15, 10, 5]",16000,3,0.2
373,374.wav,FCEG0_2.wav,FLTM0_2.wav,MKAH0_3.wav,./data/mixed/374.wav,./data/near_end/FCEG0_2.wav,./data/far_end/FLTM0_2.wav,./data/far_end/MKAH0_3.wav,"[11, 9, 1]","[2, 7, 2]","[14, 2, 1]","[12, 6, 3]","[15, 10, 5]",16000,3,0.2
374,375.wav,FCEG0_2.wav,MDAC0_2.wav,MDRD0_4.wav,./data/mixed/375.wav,./data/near_end/FCEG0_2.wav,./data/far_end/MDAC0_2.wav,./data/far_end/MDRD0_4.wav,"[9, 2, 1]","[14, 4, 5]","[11, 5, 4]","[14, 8, 4]","[15, 10, 5]",16000,3,0.2
375,376.wav,FCEG0_3.wav,MJJB0_3.wav,FBLV0_2.wav,./data/mixed/376.wav,./data/near_end/FCEG0_3.wav,./data/far_end/MJJB0_3.wav,./data/far_end/FBLV0_2.wav,"[4, 3, 1]","[12, 2, 1]","[10, 4, 2]","[14, 2, 1]","[15, 10, 5]",16000,3,0.2
376,377.wav,FCEG0_3.wav,FJSK0_2.wav,MDPS0_1.wav,./data/mixed/377.wav,./data/near_end/FCEG0_3.wav,./data/far_end/FJSK0_2.wav,./data/far_end/MDPS0_1.wav,"[9, 6, 5]","[6, 3, 2]","[6, 10, 2]","[1, 3, 3]","[15, 10, 5]",16000,3,0.2
377,378.wav,FCEG0_3.wav,MMDG0_4.wav,MJLG1_3.wav,./data/mixed/378.wav,./data/near_end/FCEG0_3.wav,./data/far_end/MMDG0_4.wav,./data/far_end/MJLG1_3.wav,"[8, 5, 1]","[10, 10, 2]","[7, 3, 5]","[8, 7, 1]","[15, 10, 5]",16000,3,0.2
378,379.wav,FCEG0_3.wav,FLMK0_3.wav,FKAA0_3.wav,./data/mixed/379.wav,./data/near_end/FCEG0_3.wav,./data/far_end/FLMK0_3.wav,./data/far_end/FKAA0_3.wav,"[12, 5, 3]","[8, 5, 1]","[2, 4, 4]","[1, 4, 3]","[15, 10, 5]",16000,3,0.2
379,380.wav,FCEG0_3.wav,MRTJ0_1.wav,MTML0_4.wav,./data/mixed/380.wav,./data/near_end/FCEG0_3.wav,./data/far_end/MRTJ0_1.wav,./data/far_end/MTML0_4.wav,"[3, 6, 1]","[12, 6, 3]","[11, 5, 4]","[11, 8, 2]","[15, 10, 5]",16000,3,0.2
380,381.wav,FCEG0_4.wav,MEJS0_2.wav,FCKE0_2.wav,./data/mixed/381.wav,./data/near_end/FCEG0_4.wav,./data/far_end/MEJS0_2.wav,./data/far_end/FCKE0_2.wav,"[3, 1, 2]","[11, 2, 3]","[5, 4, 1]","[4, 2, 2]","[15, 10, 5]",16000,3,0.2
381,382.wav,FCEG0_4.wav,MJPG0_1.wav,MBOM0_1.wav,./data/mixed/382.wav,./data/near_end/FCEG0_4.wav,./data/far_end/MJPG0_1.wav,./data/far_end/MBOM0_1.wav,"[12, 8, 3]","[4, 1, 1]","[2, 9, 5]","[14, 4, 5]","[15, 10, 5]",16000,3,0.2
382,383.wav,FCEG0_4.wav,FMJF0_3.wav,MDWM0_1.wav,./data/mixed/383.wav,./data/near_end/FCEG0_4.wav,./data/far_end/FMJF0_3.wav,./data/far_end/MDWM0_1.wav,"[12, 7, 3]","[3, 9, 2]","[13, 1, 2]","[9, 8, 4]","[15, 10, 5]",16000,3,0.2
383,384.wav,FCEG0_4.wav,MDWM0_1.wav,MPRD0_4.wav,./data/mixed/384.wav,./data/near_end/FCEG0_4.wav,./data/far_end/MDWM0_1.wav,./data/far_end/MPRD0_4.wav,"[8, 5, 2]","[12, 3, 2]","[7, 4, 2]","[1, 8, 5]","[15, 10, 5]",16000,3,0.2
384,385.wav,FCEG0_4.wav,MILB0_1.wav,MSRR0_3.wav,./data/mixed/385.wav,./data/near_end/FCEG0_4.wav,./data/far_end/MILB0_1.wav,./data/far_end/MSRR0_3.wav,"[14, 3, 3]","[4, 1, 2]","[2, 10, 4]","[2, 2, 3]","[15, 10, 5]",16000,3,0.2
385,386.wav,FCJF0_1.wav,MJRK0_1.wav,MWRE0_2.wav,./data/mixed/386.wav,./data/near_end/FCJF0_1.wav,./data/far_end/MJRK0_1.wav,./data/far_end/MWRE0_2.wav,"[6, 2, 5]","[9, 10, 3]","[5, 9, 2]","[1, 4, 2]","[15, 10, 5]",16000,3,0.2
386,387.wav,FCJF0_1.wav,MSRG0_2.wav,MAJP0_4.wav,./data/mixed/387.wav,./data/near_end/FCJF0_1.wav,./data/far_end/MSRG0_2.wav,./data/far_end/MAJP0_4.wav,"[1, 9, 1]","[8, 8, 2]","[8, 4, 2]","[9, 1, 5]","[15, 10, 5]",16000,3,0.2
387,388.wav,FCJF0_1.wav,MMBS0_3.wav,MRMG0_1.wav,./data/mixed/388.wav,./data/near_end/FCJF0_1.wav,./data/far_end/MMBS0_3.wav,./data/far_end/MRMG0_1.wav,"[7, 1, 5]","[9, 6, 5]","[1, 1, 1]","[8, 10, 1]","[15, 10, 5]",16000,3,0.2
388,389.wav,FCJF0_1.wav,MMWB0_2.wav,MMAM0_2.wav,./data/mixed/389.wav,./data/near_end/FCJF0_1.wav,./data/far_end/MMWB0_2.wav,./data/far_end/MMAM0_2.wav,"[14, 2, 5]","[1, 2, 3]","[11, 5, 5]","[14, 7, 3]","[15, 10, 5]",16000,3,0.2
389,390.wav,FCJF0_1.wav,MDPS0_1.wav,MGRP0_4.wav,./data/mixed/390.wav,./data/near_end/FCJF0_1.wav,./data/far_end/MDPS0_1.wav,./data/far_end/MGRP0_4.wav,"[10, 2, 3]","[2, 4, 2]","[2, 3, 4]","[11, 9, 5]","[15, 10, 5]",16000,3,0.2
390,391.wav,FCJF0_2.wav,MJRK0_3.wav,MPGR0_1.wav,./data/mixed/391.wav,./data/near_end/FCJF0_2.wav,./data/far_end/MJRK0_3.wav,./data/far_end/MPGR0_1.wav,"[12, 3, 3]","[7, 2, 1]","[6, 3, 2]","[10, 2, 1]","[15, 10, 5]",16000,3,0.2
391,392.wav,FCJF0_2.wav,FJDM2_3.wav,MDLB0_1.wav,./data/mixed/392.wav,./data/near_end/FCJF0_2.wav,./data/far_end/FJDM2_3.wav,./data/far_end/MDLB0_1.wav,"[14, 10, 2]","[6, 7, 3]","[3, 8, 4]","[11, 6, 3]","[15, 10, 5]",16000,3,0.2
392,393.wav,FCJF0_2.wav,MHMG0_3.wav,MJDE0_3.wav,./data/mixed/393.wav,./data/near_end/FCJF0_2.wav,./data/far_end/MHMG0_3.wav,./data/far_end/MJDE0_3.wav,"[10, 5, 1]","[9, 3, 4]","[3, 10, 3]","[12, 3, 3]","[15, 10, 5]",16000,3,0.2
393,394.wav,FCJF0_2.wav,MSEM1_1.wav,MRFL0_3.wav,./data/mixed/394.wav,./data/near_end/FCJF0_2.wav,./data/far_end/MSEM1_1.wav,./data/far_end/MRFL0_3.wav,"[3, 2, 3]","[2, 7, 3]","[14, 9, 2]","[3, 7, 5]","[15, 10, 5]",16000,3,0.2
394,395.wav,FCJF0_2.wav,FKDW0_2.wav,MDLR1_2.wav,./data/mixed/395.wav,./data/near_end/FCJF0_2.wav,./data/far_end/FKDW0_2.wav,./data/far_end/MDLR1_2.wav,"[2, 1, 5]","[8, 8, 1]","[8, 8, 5]","[3, 3, 3]","[15, 10, 5]",16000,3,0.2
395,396.wav,FCJF0_3.wav,MHIT0_2.wav,MREW1_3.wav,./data/mixed/396.wav,./data/near_end/FCJF0_3.wav,./data/far_end/MHIT0_2.wav,./data/far_end/MREW1_3.wav,"[6, 4, 2]","[8, 4, 4]","[5, 9, 4]","[5, 9, 1]","[15, 10, 5]",16000,3,0.2
396,397.wav,FCJF0_3.wav,FCYL0_1.wav,MTLB0_1.wav,./data/mixed/397.wav,./data/near_end/FCJF0_3.wav,./data/far_end/FCYL0_1.wav,./data/far_end/MTLB0_1.wav,"[3, 8, 2]","[8, 10, 5]","[1, 9, 5]","[11, 8, 3]","[15, 10, 5]",16000,3,0.2
397,398.wav,FCJF0_3.wav,FDFB0_3.wav,MBTH0_2.wav,./data/mixed/398.wav,./data/near_end/FCJF0_3.wav,./data/far_end/FDFB0_3.wav,./data/far_end/MBTH0_2.wav,"[6, 1, 3]","[12, 8, 5]","[6, 3, 4]","[14, 6, 3]","[15, 10, 5]",16000,3,0.2
398,399.wav,FCJF0_3.wav,FECD0_4.wav,MMEA0_1.wav,./data/mixed/399.wav,./data/near_end/FCJF0_3.wav,./data/far_end/FECD0_4.wav,./data/far_end/MMEA0_1.wav,"[14, 1, 5]","[14, 9, 5]","[8, 2, 2]","[10, 2, 2]","[15, 10, 5]",16000,3,0.2
399,400.wav,FCJF0_3.wav,MKLS1_1.wav,MWRE0_3.wav,./data/mixed/400.wav,./data/near_end/FCJF0_3.wav,./data/far_end/MKLS1_1.wav,./data/far_end/MWRE0_3.wav,"[3, 3, 5]","[6, 7, 2]","[6, 7, 2]","[13, 10, 5]","[15, 10, 5]",16000,3,0.2
400,401.wav,FCJF0_4.wav,MJXL0_2.wav,MDCD0_1.wav,./data/mixed/401.wav,./data/near_end/FCJF0_4.wav,./data/far_end/MJXL0_2.wav,./data/far_end/MDCD0_1.wav,"[13, 6, 1]","[13, 6, 2]","[11, 7, 5]","[2, 8, 3]","[15, 10, 5]",16000,3,0.2
401,402.wav,FCJF0_4.wav,MAJP0_3.wav,MPAR0_1.wav,./data/mixed/402.wav,./data/near_end/FCJF0_4.wav,./data/far_end/MAJP0_3.wav,./data/far_end/MPAR0_1.wav,"[11, 9, 2]","[14, 8, 2]","[3, 4, 5]","[12, 2, 4]","[15, 10, 5]",16000,3,0.2
402,403.wav,FCJF0_4.wav,MTAS0_2.wav,FSRH0_1.wav,./data/mixed/403.wav,./data/near_end/FCJF0_4.wav,./data/far_end/MTAS0_2.wav,./data/far_end/FSRH0_1.wav,"[13, 8, 2]","[1, 2, 5]","[6, 4, 4]","[8, 10, 1]","[15, 10, 5]",16000,3,0.2
403,404.wav,FCJF0_4.wav,MSES0_2.wav,MRJH0_3.wav,./data/mixed/404.wav,./data/near_end/FCJF0_4.wav,./data/far_end/MSES0_2.wav,./data/far_end/MRJH0_3.wav,"[5, 4, 1]","[13, 8, 4]","[14, 5, 3]","[8, 2, 4]","[15, 10, 5]",16000,3,0.2
404,405.wav,FCJF0_4.wav,MTMN0_3.wav,MFRM0_2.wav,./data/mixed/405.wav,./data/near_end/FCJF0_4.wav,./data/far_end/MTMN0_3.wav,./data/far_end/MFRM0_2.wav,"[5, 2, 2]","[7, 3, 3]","[4, 7, 5]","[7, 8, 2]","[15, 10, 5]",16000,3,0.2
405,406.wav,FCJS0_1.wav,MKAG0_1.wav,MTJM0_1.wav,./data/mixed/406.wav,./data/near_end/FCJS0_1.wav,./data/far_end/MKAG0_1.wav,./data/far_end/MTJM0_1.wav,"[9, 3, 3]","[14, 2, 1]","[5, 3, 5]","[11, 10, 4]","[15, 10, 5]",16000,3,0.2
406,407.wav,FCJS0_1.wav,MLEL0_1.wav,MSAT1_2.wav,./data/mixed/407.wav,./data/near_end/FCJS0_1.wav,./data/far_end/MLEL0_1.wav,./data/far_end/MSAT1_2.wav,"[2, 9, 5]","[10, 6, 5]","[13, 5, 2]","[11, 8, 2]","[15, 10, 5]",16000,3,0.2
407,408.wav,FCJS0_1.wav,MTAT1_2.wav,FDAW0_1.wav,./data/mixed/408.wav,./data/near_end/FCJS0_1.wav,./data/far_end/MTAT1_2.wav,./data/far_end/FDAW0_1.wav,"[9, 2, 3]","[11, 4, 5]","[2, 10, 4]","[4, 10, 1]","[15, 10, 5]",16000,3,0.2
408,409.wav,FCJS0_1.wav,MMGC0_2.wav,MGAR0_3.wav,./data/mixed/409.wav,./data/near_end/FCJS0_1.wav,./data/far_end/MMGC0_2.wav,./data/far_end/MGAR0_3.wav,"[8, 8, 3]","[9, 1, 5]","[14, 4, 5]","[7, 10, 1]","[15, 10, 5]",16000,3,0.2
409,410.wav,FCJS0_1.wav,MJXA0_3.wav,MMAB1_4.wav,./data/mixed/410.wav,./data/near_end/FCJS0_1.wav,./data/far_end/MJXA0_3.wav,./data/far_end/MMAB1_4.wav,"[7, 3, 1]","[1, 8, 5]","[13, 6, 5]","[4, 4, 5]","[15, 10, 5]",16000,3,0.2
410,411.wav,FCJS0_2.wav,MRHL0_3.wav,FBJL0_3.wav,./data/mixed/411.wav,./data/near_end/FCJS0_2.wav,./data/far_end/MRHL0_3.wav,./data/far_end/FBJL0_3.wav,"[4, 10, 4]","[12, 1, 4]","[4, 9, 3]","[10, 1, 2]","[15, 10, 5]",16000,3,0.2
411,412.wav,FCJS0_2.wav,MDLM0_2.wav,FLAG0_3.wav,./data/mixed/412.wav,./data/near_end/FCJS0_2.wav,./data/far_end/MDLM0_2.wav,./data/far_end/FLAG0_3.wav,"[7, 9, 4]","[11, 3, 4]","[8, 10, 1]","[12, 4, 5]","[15, 10, 5]",16000,3,0.2
412,413.wav,FCJS0_2.wav,MHBS0_2.wav,MTPP0_3.wav,./data/mixed/413.wav,./data/near_end/FCJS0_2.wav,./data/far_end/MHBS0_2.wav,./data/far_end/MTPP0_3.wav,"[7, 6, 2]","[5, 8, 2]","[5, 4, 1]","[2, 7, 2]","[15, 10, 5]",16000,3,0.2
413,414.wav,FCJS0_2.wav,MMAG0_1.wav,MJJJ0_2.wav,./data/mixed/414.wav,./data/near_end/FCJS0_2.wav,./data/far_end/MMAG0_1.wav,./data/far_end/MJJJ0_2.wav,"[9, 8, 5]","[12, 8, 2]","[10, 2, 2]","[10, 1, 4]","[15, 10, 5]",16000,3,0.2
414,415.wav,FCJS0_2.wav,FETB0_2.wav,MKAJ0_3.wav,./data/mixed/415.wav,./data/near_end/FCJS0_2.wav,./data/far_end/FETB0_2.wav,./data/far_end/MKAJ0_3.wav,"[11, 3, 5]","[7, 4, 3]","[3, 5, 4]","[12, 9, 1]","[15, 10, 5]",16000,3,0.2
415,416.wav,FCJS0_3.wav,MDRD0_3.wav,FPAZ0_2.wav,./data/mixed/416.wav,./data/near_end/FCJS0_3.wav,./data/far_end/MDRD0_3.wav,./data/far_end/FPAZ0_2.wav,"[6, 3, 4]","[4, 9, 4]","[12, 8, 3]","[14, 2, 4]","[15, 10, 5]",16000,3,0.2
416,417.wav,FCJS0_3.wav,FLJA0_3.wav,FCYL0_4.wav,./data/mixed/417.wav,./data/near_end/FCJS0_3.wav,./data/far_end/FLJA0_3.wav,./data/far_end/FCYL0_4.wav,"[8, 4, 2]","[7, 1, 1]","[9, 6, 2]","[9, 5, 2]","[15, 10, 5]",16000,3,0.2
417,418.wav,FCJS0_3.wav,MWSH0_3.wav,MCEF0_2.wav,./data/mixed/418.wav,./data/near_end/FCJS0_3.wav,./data/far_end/MWSH0_3.wav,./data/far_end/MCEF0_2.wav,"[2, 3, 2]","[9, 2, 1]","[4, 10, 1]","[4, 6, 5]","[15, 10, 5]",16000,3,0.2
418,419.wav,FCJS0_3.wav,MJWT0_4.wav,FBMH0_2.wav,./data/mixed/419.wav,./data/near_end/FCJS0_3.wav,./data/far_end/MJWT0_4.wav,./data/far_end/FBMH0_2.wav,"[9, 7, 4]","[2, 7, 3]","[2, 1, 1]","[1, 1, 4]","[15, 10, 5]",16000,3,0.2
419,420.wav,FCJS0_3.wav,MARC0_2.wav,MJRP0_3.wav,./data/mixed/420.wav,./data/near_end/FCJS0_3.wav,./data/far_end/MARC0_2.wav,./data/far_end/MJRP0_3.wav,"[8, 10, 3]","[5, 2, 2]","[4, 8, 2]","[13, 10, 3]","[15, 10, 5]",16000,3,0.2
420,421.wav,FCJS0_4.wav,FTBR0_3.wav,MEFG0_3.wav,./data/mixed/421.wav,./data/near_end/FCJS0_4.wav,./data/far_end/FTBR0_3.wav,./data/far_end/MEFG0_3.wav,"[8, 4, 4]","[3, 1, 1]","[2, 4, 4]","[1, 4, 2]","[15, 10, 5]",16000,3,0.2
421,422.wav,FCJS0_4.wav,MEGJ0_1.wav,MRLJ0_2.wav,./data/mixed/422.wav,./data/near_end/FCJS0_4.wav,./data/far_end/MEGJ0_1.wav,./data/far_end/MRLJ0_2.wav,"[12, 9, 4]","[2, 4, 4]","[8, 6, 1]","[9, 5, 4]","[15, 10, 5]",16000,3,0.2
422,423.wav,FCJS0_4.wav,FTBR0_3.wav,MRTC0_3.wav,./data/mixed/423.wav,./data/near_end/FCJS0_4.wav,./data/far_end/FTBR0_3.wav,./data/far_end/MRTC0_3.wav,"[5, 1, 4]","[1, 3, 4]","[14, 6, 1]","[1, 9, 3]","[15, 10, 5]",16000,3,0.2
423,424.wav,FCJS0_4.wav,FBJL0_2.wav,MMDG0_4.wav,./data/mixed/424.wav,./data/near_end/FCJS0_4.wav,./data/far_end/FBJL0_2.wav,./data/far_end/MMDG0_4.wav,"[4, 4, 3]","[10, 7, 5]","[11, 3, 1]","[9, 6, 5]","[15, 10, 5]",16000,3,0.2
424,425.wav,FCJS0_4.wav,MHBS0_1.wav,MKDT0_1.wav,./data/mixed/425.wav,./data/near_end/FCJS0_4.wav,./data/far_end/MHBS0_1.wav,./data/far_end/MKDT0_1.wav,"[6, 1, 1]","[3, 6, 3]","[12, 9, 2]","[7, 3, 1]","[15, 10, 5]",16000,3,0.2
425,426.wav,FCKE0_1.wav,MCEW0_4.wav,MKAH0_1.wav,./data/mixed/426.wav,./data/near_end/FCKE0_1.wav,./data/far_end/MCEW0_4.wav,./data/far_end/MKAH0_1.wav,"[11, 4, 3]","[8, 3, 1]","[13, 6, 2]","[5, 6, 3]","[15, 10, 5]",16000,3,0.2
426,427.wav,FCKE0_1.wav,FKSR0_1.wav,MWSH0_2.wav,./data/mixed/427.wav,./data/near_end/FCKE0_1.wav,./data/far_end/FKSR0_1.wav,./data/far_end/MWSH0_2.wav,"[7, 4, 4]","[11, 9, 2]","[4, 6, 3]","[12, 9, 3]","[15, 10, 5]",16000,3,0.2
427,428.wav,FCKE0_1.wav,MTPR0_1.wav,FSMA0_2.wav,./data/mixed/428.wav,./data/near_end/FCKE0_1.wav,./data/far_end/MTPR0_1.wav,./data/far_end/FSMA0_2.wav,"[10, 7, 1]","[5, 2, 5]","[3, 7, 5]","[3, 8, 1]","[15, 10, 5]",16000,3,0.2
428,429.wav,FCKE0_1.wav,MRBC0_2.wav,MMRP0_4.wav,./data/mixed/429.wav,./data/near_end/FCKE0_1.wav,./data/far_end/MRBC0_2.wav,./data/far_end/MMRP0_4.wav,"[6, 8, 1]","[11, 4, 1]","[8, 6, 4]","[7, 5, 5]","[15, 10, 5]",16000,3,0.2
